,_c0,Borough,startStationName,latitude,longitude,prediction,concat
67,253,Queens,38 Ave & 29 St,40.75473,-73.93367,999,Queens999
68,254,Queens,Queens Plaza North & Crescent St,40.752,-73.940737,999,Queens999
69,262,Queens,24 St & 41 Ave,40.7527085,-73.9397405,999,Queens999
70,263,Queens,21 Ave & Crescent St,40.780478,-73.912212,999,Queens999
71,272,Queens,27 Ave & 3 St,40.77485,-73.9342,999,Queens999
72,280,Queens,40 Ave & 9 St,40.758,-73.944,999,Queens999
73,284,Queens,Madison St & Cypress Ave,40.70068,-73.90742,999,Queens999
74,289,Bronx,E 138 St & Willow Ave,40.804168,-73.911545,999,Bronx999
75,290,Queens,Fairview Ave & Linden St,40.70694,-73.90632,999,Queens999
76,291,Bronx,Louis Nine Blvd & Intervale Ave,40.831998,-73.892686,999,Bronx999
77,305,Bronx,Prospect Ave & E 151 St,40.814232,-73.903927,999,Bronx999
78,307,Bronx,Intervale Ave & Westchester Ave,40.821967,-73.896752,999,Bronx999
79,309,Bronx,Ogden Ave & Merriam Ave,40.839142,-73.925961,999,Bronx999
80,313,Bronx,Bronx Shore Comfort Station,40.80046,-73.92404,999,Bronx999
81,327,Bronx,Westchester Ave & E 156 St,40.817802,-73.905203,999,Bronx999
82,328,Queens,20 Ave & 33 St,40.779399,-73.905708,999,Queens999
83,336,Queens,50 St & 30 Ave,40.760083,-73.907107,999,Queens999
84,342,Queens,Ditmars Blvd & 19 St,40.78145,-73.91833,999,Queens999
85,345,Bronx,Longfellow Ave & E 165 St,40.825322,-73.887729,999,Bronx999
86,346,Queens,Stephen St & Seneca Ave,40.6988,-73.9007,999,Queens999
87,347,Bronx,E 134 St & Walnut Ave,40.800425,-73.911034,999,Bronx999
88,350,Queens,Madison St & Forest Ave,40.70555,-73.90245,999,Queens999
89,355,Queens,Newtown Ave & 23 St,40.771362,-73.924614,999,Queens999
90,356,Bronx,Beck St & Leggett Ave,40.815077,-73.899939,999,Bronx999
91,357,Queens,9 St & 44 Rd,40.74966,-73.9521,999,Queens999
92,359,Bronx,Southern Blvd & E 174 St,40.836733,-73.887931,999,Bronx999
93,360,Queens,35 St & 34 Ave,40.7580583,-73.923,999,Queens999
94,361,Bronx,Southern Blvd & E 175 St,40.839335,-73.886445,999,Bronx999
95,366,Bronx,E 174 St & Walton Ave,40.844811,-73.912042,999,Bronx999
96,371,Bronx,St. Ann's Av & Bruckner Blvd,40.803399,-73.919763,999,Bronx999
97,377,Queens,Menahan St & Onderdonk Ave,40.70553,-73.9096,999,Queens999
98,378,Bronx,Sherman Ave & E 166 St,40.831305,-73.917447,999,Bronx999
99,383,Bronx,Davidson Ave & W Burnside Ave,40.853646,-73.908731,999,Bronx999
100,389,Bronx,Clay Ave & Claremont Pkwy,40.83999,-73.90549,999,Bronx999
101,392,Bronx,Wales Ave & E 147 St,40.811314,-73.907729,999,Bronx999
102,401,Bronx,Grand Concourse & E 167 St,40.834263,-73.917641,999,Bronx999
103,402,Bronx,Westchester Ave & Longwood Ave,40.819701,-73.901311,999,Bronx999
104,406,Queens,27 Ave & 9 St,40.773983,-73.930913,999,Queens999
105,408,Queens,Broadway & 12 St,40.7668,-73.934777,999,Queens999
106,412,Queens,Broadway & 51 St,40.754164,-73.908906,999,Queens999
107,413,Bronx,E 156 & Brook Ave,40.819823,-73.912411,999,Bronx999
108,419,Bronx,E 144 St & Brook Ave,40.811675,-73.917037,999,Bronx999
109,421,Queens,34 St & 38 Ave,40.752443,-73.929737,999,Queens999
110,428,Bronx,Walton Ave & E 171 St,40.840683,-73.915073,999,Bronx999
111,430,Queens,21 St & 38 Ave,40.7576314,-73.939122,999,Queens999
112,431,Queens,30 Ave & 21 St,40.7703743,-73.928607,999,Queens999
113,434,Queens,46 St & 28 Ave,40.763328,-73.908782,999,Queens999
114,435,Bronx,Waterloo Pl & Crotona Park East,40.839194,-73.888587,999,Bronx999
115,438,Queens,Crescent St & 35 Ave,40.759628,-73.932145,999,Queens999
116,443,Bronx,Boone Ave & E 172 St,40.832649,-73.885272,999,Bronx999
117,445,Bronx,Morris Ave & E 171 St,40.83899,-73.9109,999,Bronx999
118,446,Bronx,Barry St & Tiffany St,40.816126,-73.891559,999,Bronx999
119,448,Bronx,Walton Ave & E 183 St,40.858472,-73.90266,999,Bronx999
120,452,Queens,24 St & 38 Ave,40.756351,-73.936515,999,Queens999
121,458,Bronx,W 176 St & Montgomery Ave,40.849629,-73.919205,999,Bronx999
122,459,Bronx,Cedar Ave & W Fordham Rd,40.86156,-73.91219,999,Bronx999
123,464,Queens,Steinway St & 21 Ave,40.774798,-73.903787,999,Queens999
124,466,Queens,35 Ave & 10 St,40.763155,-73.939855,999,Queens999
125,470,Bronx,Union Ave & E 169 St,40.82995,-73.898802,999,Bronx999
126,473,Bronx,E 161 St & River Ave,40.827883,-73.927111,999,Bronx999
127,485,Bronx,E 157 St & River Ave,40.825737,-73.927311,999,Bronx999
128,491,Bronx,River Ave & McClellan St,40.83406,-73.92243,999,Bronx999
